"";"nombre_pregunta";"codigos_categorias_2";"codigo";"categoria"
"1";"p1_recop_dat";"1- Si";1;"Si"
"2";"p1_recop_dat";"2- No";2;"No"
"3";"p1_recop_dat";"3- No aplica porque no está dentro de las tareas recopilar datos";3;"No aplica porque no está dentro de las tareas recopilar datos"
"4";"p1_recop_dat";"99- No sabe";99;"No sabe"
"5";"p2_bases_dat";"1- Si";1;"Si"
"6";"p2_bases_dat";"2- No";2;"No"
"7";"p2_bases_dat";"99- No sabe";99;"No sabe"
"8";"p3_control_base";"1- Lo hace un equipo interno (que forma parte del organismo)";1;"Lo hace un equipo interno (que forma parte del organismo)"
"9";"p3_control_base";"2- Lo hace un equipo externo (que no forma parte del organismo)";2;"Lo hace un equipo externo (que no forma parte del organismo)"
"10";"p3_control_base";"3- Lo hace un equipo interno y un equipo externo";3;"Lo hace un equipo interno y un equipo externo"
"11";"p3_control_base";"4- No aplica porque no está dentro de las tareas hacer controles en la base de datos";4;"No aplica porque no está dentro de las tareas hacer controles en la base de datos"
"12";"p3_control_base";"99- No sabe";99;"No sabe"
"13";"p4_integr_dat";"1- Si";1;"Si"
"14";"p4_integr_dat";"2- No";2;"No"
"15";"p4_integr_dat";"3- No aplica porque no está dentro de las tareas integrar los datos";3;"No aplica porque no está dentro de las tareas integrar los datos"
"16";"p4_integr_dat";"99- No sabe";99;"No sabe"
"17";"p5_tec_integr_dat";"1- Si";1;"Si"
"18";"p5_tec_integr_dat";"2- No";2;"No"
"19";"p5_tec_integr_dat";"3- No aplica porque no está dentro de las tareas integrar los datos";3;"No aplica porque no está dentro de las tareas integrar los datos"
"20";"p5_tec_integr_dat";"99- No sabe";99;"No sabe"
"21";"p6_documen_pol_int";"1- Si";1;"Si"
"22";"p6_documen_pol_int";"2- No";2;"No"
"23";"p6_documen_pol_int";"3- No aplica porque no está dentro de las tareas integrar datos";3;"No aplica porque no está dentro de las tareas integrar datos"
"24";"p6_documen_pol_int";"99- No sabe";99;"No sabe"
"25";"p7_area_cienc_dat";"1- Si";1;"Si"
"26";"p7_area_cienc_dat";"2- No";2;"No"
"27";"p7_area_cienc_dat";"99- No sabe";99;"No sabe"
"28";"p8_apli_tec_ciencia_dat";"1- Si";1;"Si"
"29";"p8_apli_tec_ciencia_dat";"2- No";2;"No"
"30";"p8_apli_tec_ciencia_dat";"3- No aplica porque no está dentro de las tareas hacer ciencia de datos";3;"No aplica porque no está dentro de las tareas hacer ciencia de datos"
"31";"p8_apli_tec_ciencia_dat";"99- No sabe";99;"No sabe"
"32";"p9_herra_vis_dat";"1- Si";1;"Si"
"33";"p9_herra_vis_dat";"2- No";2;"No"
